,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
2,selikhino,RU,50.37,137.51,25.41,61.0,1.0,10.71
3,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
4,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
5,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
6,mareeba,AU,-16.99,145.42,90.21,49.0,0.0,14.99
7,kavieng,PG,-2.57,150.8,79.29,81.0,100.0,4.23
8,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
10,cape town,ZA,-33.93,18.42,61.09,93.0,79.0,10.29
11,caconda,AO,-13.73,15.06,65.97,88.0,100.0,5.53
12,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
13,boddam,GB,57.47,-1.78,33.82,74.0,40.0,9.17
14,chivilcoy,AR,-34.9,-60.02,59.0,91.0,51.0,1.01
15,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
16,ancud,CL,-41.87,-73.83,50.0,93.0,74.0,4.7
17,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
18,rio gallegos,AR,-51.62,-69.22,41.0,70.0,42.0,26.4
21,barrow,US,39.51,-90.4,44.17,65.0,1.0,4.7
22,el cobre,CU,20.05,-75.95,77.0,73.0,40.0,5.82
24,palmer,US,61.6,-149.11,31.39,54.0,1.0,9.17
25,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
26,te anau,NZ,-45.41,167.72,45.88,80.0,69.0,9.4
27,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
28,blagodarnyy,RU,45.1,43.44,54.16,71.0,98.0,7.16
29,khatanga,RU,71.98,102.47,-1.36,96.0,100.0,15.84
30,kaitangata,NZ,-46.28,169.85,51.01,74.0,80.0,10.0
31,maniitsoq,GL,65.42,-52.9,38.3,49.0,100.0,18.7
32,plaine magnien,MU,-20.43,57.65,78.17,78.0,75.0,3.36
34,egvekinot,RU,66.32,-179.17,16.59,79.0,35.0,6.15
